Catégorie de contrôle;Organismes contrôlés;"Modalité
 de contrôle";Dépt.;Ville;Pays;"Activité
 de l'organisme";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MVGROUP;sur place;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;BEREAL;en ligne;75;PARIS;FRANCE;Télécommunications;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;BEREAL;en ligne;75;PARIS;FRANCE;Télécommunications;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;BEREAL;sur audition;75;PARIS;FRANCE;Télécommunications;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;LE WELCOME LAB;sur place;94;IVRY-SUR-SEINE;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;Mission interministérielle de coordination anti-fraude (MICAF);sur place;75;PARIS;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;PHILIPS CONSUMER LIFESTYLE B.V.;en ligne;;EINDHOVEN;PAYS-BAS;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;PHILIPS CONSUMER LIFESTYLE B.V.;sur pièces;;EINDHOVEN;PAYS-BAS;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;SMART DATA;en ligne;92;NEUILLY SUR SEINE;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;SMART DATA;sur place;92;NEUILLY SUR SEINE;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIDEOPROTECTION;MINISTERE DE L'INTERIEUR;sur pièces;75;PARIS;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIDEOPROTECTION;PARTICULIER;sur pièces;77;VOISENON;FRANCE;Particulier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;COFIDIS;sur place;59;VILLENEUVE D'ASCQ;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;COFIDIS;sur place;59;VILLENEUVE D'ASCQ;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;COFIDIS;sur place;59;VILLENEUVE D'ASCQ;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;Caisse d'allocations familiales de la Gironde;sur place;33;BORDEAUX;FRANCE;Social;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;ST BTP;sur place;81;CASTRES;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD; ITALIAN STREET FOOD;sur place;31;GARIDECH;FRANCE;Travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;SERVICE NATIONAL DES ENQUÊTES ADMINISTRATIVES DE SÉCURITÉ ;sur place;75;PARIS;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;COMMANDEMENT SPÉCIALISÉ POUR LA SÉCURITÉ NUCLÉRAIRE ;sur place;94;MAISONS-ALFORT;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;SERVICE NATIONAL DES ENQUÊTES ADMINISTRATIVES DE SÉCURITÉ ;sur place;92;NANTERRE;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;LA BANQUE POSTALE;sur place;75;PARIS;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;SAMSUNG ELECTRONICS CO., LTD;en ligne;;SEOUL;COREE DU SUD;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;SAMSUNG ELECTRONICS CO., LTD;sur place;93;SAINT-OUEN;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CAISSE D'ALLOCATIONS FAMILIALES DE LA GIRONDE;sur place;33;BORDEAUX;FRANCE;Social;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;WITHINGS;sur place;92;ISSY LES MOULINEAUX;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;WITHINGS;sur place;92;ISSY LES MOULINEAUX;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;ROCKETREACH;en ligne;;"BELLEVUE
";ÉTATS-UNIS;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;ROCKETREACH;sur pièces;;"BELLEVUE
";ÉTATS-UNIS;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;HOLDING MAUD;sur place;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CAISSE NATIONALE DES ALLOCATIONS FAMILIALES;sur place;75;PARIS;FRANCE;Social;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CAISSE NATIONALE DES ALLOCATIONS FAMILIALES;sur pièces;75;PARIS;FRANCE;Social;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;USS SENSIVIC;sur place;45;ORLEANS;FRANCE;Collectivités territoriales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CA CONSUMER FINANCE;sur place;91;MASSY;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;HEMA;sur place;29;QUIMPER;FRANCE;Travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MERS;sur place;75;PARIS;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;DOCTOLIB;sur place;92;LEVALLOIS-PERRET;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;DOCTOLIB;sur place;92;LEVALLOIS-PERRET;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;DIRECTION GÉNÉRALE DES FINANCES PUBLIQUES;sur place;75;PARIS;FRANCE;Finances publiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;DIRECTION GÉNÉRALE DES FINANCES PUBLIQUES;sur place;75;PARIS;FRANCE;Finances publiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;DIRECTION GÉNÉRALE DES FINANCES PUBLIQUES;sur place;75;PARIS;FRANCE;Finances publiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CAISSE NATIONALE DE L'ASSURANCE MALADIE;sur place;75;PARIS;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MERS;sur place;75;PARIS;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;ONEY BANK;sur place;59;CROIX;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CREDIT MUTUEL;sur place;49;ANGERS;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CREDIT MUTUEL;sur place;49;ANGERS;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CREDIT MUTUEL;sur place;67;STRASBOURG;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CARRIBEX LTD;en ligne;;"BELIZE CITY
";BÉLIZE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CARRIBEX LTD;sur pièces;;"BELIZE CITY
";BÉLIZE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;INSTITUT NATIONAL DE LA SANTÉ ET DE LA RECHERCHE MÉDICALE;sur place;75;PARIS;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;SPIE ICS;sur place;92;MALAKOFF;FRANCE;Travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIDEOPROTECTION;COMMUNE DE NICE;sur place;06;NICE;FRANCE;Collectivités territoriales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIDEOPROTECTION;PARTICULIER;sur pièces;77;CHARTRETTES;FRANCE;Particulier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;AGENCE CASSANDRA;en ligne;93;SAINT-DENIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;AUTOROUTES DU SUD DE LA France;sur place;84;ORANGE;FRANCE;Travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;ADECCO;sur place;69;VILLEURBANNE;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;AGENCE NATIONALE DES DONNÉES DE VOYAGE ;sur place;75;PARIS;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;DIRECTION DE LA POLICE AUX FRONTIÈRES ;sur place;95;ROISSY-EN-FRANCE;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;AIR FRANCE;sur place;93;TREMBLAY-EN-FRANCE;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;DIRECTION GENERALE DES DOUANES ET DROITS INDIRECTS;sur place;69;COLOMBIER-SAUGNIEU;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;HOPITAL AMERICAIN DE PARIS ;sur place;92;NEUILLY-SUR-SEINE;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;GROUPE PROXITEAM;sur place;92;LEVALLOIS-PERRET;FRANCE;Travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD; CAISSE D'ALLOCATIONS FAMILIALES DE LA SEINE-ET-MARNE;sur place;77;MELUN;FRANCE;Social;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;"AGGLOMERATION 
ANNEMASSE-LES-VOIRONS";sur place;74;ANNEMASSE;FRANCE;Collectivités territoriales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;INETUM;sur place;93;SAINT-OUEN-SUR-SEINE;FRANCE;Collectivités territoriales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;COTON DOUX PARIS;sur place;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;"
DHL INTERNATIONAL EXPRESS
 FRANCE
";sur pièces;93;LE BOURGET;FRANCE;Transports;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;"
GEFCO FRANCE
";sur pièces;92;COLOMBES;FRANCE;Transports;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;"
FM FRANCE
";sur pièces;57;PHALSBOURG;FRANCE;Transports;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;"
AIR FRANCE
";sur pièces;93;TREMBLAY-EN-FRANCE;FRANCE;Transports;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;"
AIR CORSICA
";sur pièces;20;AJACCIO;FRANCE;Transports;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;L'OREAL;sur pièces;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;YVES SAINT LAURENT;sur pièces;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;ACSATI (DMI SYSTEMES);sur place;83;LA SEYNE-SUR-MER;FRANCE;Education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CAISSE NATIONALE DE SOLIDARITE POUR L'AUTONOMIE;sur pièces;75;PARIS;FRANCE;Social;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;SEMEIA;sur pièces;75;PARIS;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MERS;sur place;75;PARIS;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;PREFECTURE DE LA SEINE SAINT DENIS;sur place;93;BOBIGNY;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;BRIGADE DE GENDARMERIE DE OUISTREHAM;sur place;14;OUISTREHAM;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;DIRECTION INTERREGIONALE DE LA POLICE JUDICIAIRE DE LILLE;sur place;59;LILLE;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CENTRE DE GESTION DE L'ISERE;sur pièces;38;SAINT-MARTIN-D'HERES;FRANCE;Collectivités territoriales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;UNIVERSITE PARIS-CITE;sur pièces;75;PARIS;FRANCE;Education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS;sur pièces;75;PARIS;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;SARL BLANCHISSERIE CHALONNAISE;sur place;51;SAINT-MARTIN-SUR-LE-PRE;FRANCE;Travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;HOSPICES CIVILS DE LYON;sur place;69;LYON;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CENTRE HOSPITALIER UNIVERSITAIRE DE BESANCON ;sur place;25;BESANCON;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;DIRECTION GENERALE DES FINANCES PUBLIQUES;sur pièces;75;PARIS;FRANCE;Finances publiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;AGENCE IMMOBILIERE BONJOUR OSCAR;sur place;75;PARIS;FRANCE;Travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
